Date,Station name & ID,Loco Id,Direction,Issue Type,Issue Sub category,Issue Count,Issues noted During Trial,Time,Analysis,Root Cause/Why2,Corrective Action,Issue Category,Action Taken
04-03-2026,Cheragram (CRAE) (12018),30082,UP (N),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,13:09:46,After deregister with previous station. Loco request and station responce is at same time. Loco sent Loco regular packets. but are received delay to the station. Hence Loco switched to LS mode.,"Radio 1 RX: 8.19 MB
Radio 2 RX: 7.64 MB",,,
04-03-2026,Baruipara (BRPA) (12011),30330,UP (N),LS mode,,,Loco switched to LS mode,23:37:20,"Data is not populated in the station log, likely suspect is the Radio Interference ","Radio 1 RX: 1.32 MB
Radio 2 RX: 2.24 MB",,,
04-03-2026,Janai Road (JOX) (12009),30692,UP (N),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,17:41:46,"After deregister with previous station. Loco request and station responce is at same time. Loco sent Loco regular packets.but Loco regular packets were received at the station with a delay of 4 seconds, and station packets were received at the loco with a delay of 2 seconds.Hence Loco switched to LS mode.","Radio 1 RX: 329.38 KB
Radio 2 RX: 1.77 MB",,,
04-03-2026,Baruipara (BRPA) (12011),37042,UP (N),LS mode,,,Loco switched to LS mode,0:06:22,"Need to check Loco Antennas, as LS modes were occurred mostly in every station.","Radio 1 RX: 1.32 MB
Radio 2 RX: 2.24 MB",,,
04-03-2026,Janai Road (JOX) (12009),37042,UP (N),LS mode,,,Loco switched to LS mode,0:00:18,,"Radio 1 RX: 329.38 KB
Radio 2 RX: 1.77 MB",,,
04-03-2026,LC-38 (CDAE-BMAE) (12016),37042,UP (N),LS mode,,,Loco switched to LS mode,0:18:40,,"Radio 1 RX: 568.99 KB
Radio 2 RX: 435.22 KB",,,
04-03-2026,Palla Road (PRAE) (12025),37042,UP (N),LS mode,,,Loco switched to LS mode,0:42:46,,"Radio 1 RX: 1.53 MB
Radio 2 RX: 16.25 MB",,,
04-03-2026,Cheragram (CRAE) (12018),37268,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,7:54:40,Station sent station regular packets. but are not received to Loco. Hence Loco switched to LS mode.,"Radio 1 RX: 8.19 MB
Radio 2 RX: 7.64 MB",,,
04-03-2026,LC-38 (CDAE-BMAE) (12016),37268,DN (R),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,7:57:26,"After deregister with previous station. Loco request and station responce is at same time. Loco sent Loco regular packets.but Loco regular packets were received at the station with a delay, and station packets were received at the loco with a delay of 2 seconds.Hence Loco switched to LS mode.","Radio 1 RX: 568.99 KB
Radio 2 RX: 435.22 KB",,,
04-03-2026,Belur (BEQ) (12003),37908,UP (N),LS mode,Radio communicaiton failure,1,Loco switched to LS mode,8:29:06,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 507.79 KB
Radio 2 RX: 1.03 MB",,,
